feature,type,cluster
D_mc-S-1-all,RAC,1
D_mc-T-1-all,RAC,1
D_mc-T-2-all,RAC,1
D_mc-chi-1-all,RAC,1
mc-S-1-all,RAC,1
mc-chi-1-all,RAC,1
D_mc-Z-1-all,RAC,2
D_mc-Z-3-all,RAC,2
mc-Z-0-all,RAC,2
mc-Z-1-all,RAC,2
mc-Z-2-all,RAC,2
mc-Z-3-all,RAC,2
f-Z-0-all,RAC,3
f-Z-1-all,RAC,3
f-Z-2-all,RAC,3
f-chi-0-all,RAC,3
f-chi-2-all,RAC,3
D_mc-S-3-all,RAC,4
D_mc-T-3-all,RAC,4
D_mc-chi-3-all,RAC,4
mc-I-2-all,RAC,4
mc-I-3-all,RAC,4
mc-S-2-all,RAC,4
mc-S-3-all,RAC,4
mc-T-1-all,RAC,4
mc-T-2-all,RAC,4
mc-T-3-all,RAC,4
mc-chi-3-all,RAC,4
mc-chi-0-all,RAC,5
mc-S-0-all,RAC,6
D_mc-S-2-all,RAC,7
D_mc-Z-2-all,RAC,7
D_mc-chi-2-all,RAC,7
mc-chi-2-all,RAC,8
f-lig-I-0,RAC,9
f-lig-I-1,RAC,9
f-lig-I-3,RAC,9
f-lig-S-0,RAC,9
f-lig-S-1,RAC,9
f-lig-S-2,RAC,9
f-lig-S-3,RAC,9
f-lig-T-1,RAC,9
f-lig-T-3,RAC,9
f-lig-Z-0,RAC,9
f-lig-Z-1,RAC,9
f-lig-Z-2,RAC,9
f-lig-Z-3,RAC,9
f-lig-chi-0,RAC,9
f-lig-chi-1,RAC,9
f-lig-chi-2,RAC,9
f-lig-chi-3,RAC,9
D_func-alpha-2-all,Other,10
D_func-alpha-3-all,Other,10
lc-chi-2-all,RAC,11
lc-Z-2-all,RAC,12
D_lc-T-2-all,RAC,13
D_lc-alpha-2-all,RAC,13
lc-Z-3-all,RAC,14
D_lc-chi-3-all,RAC,15
Dif,Other,16
GPOAV,Other,16
GSA,Other,16
POAV_vol_frac,Other,16
VPOV,Other,16
Df,Zeo++,16
Di,Zeo++,16
GPOV,Zeo++,16
VSA,Zeo++,16
D_func-S-2-all,Other,17
D_func-S-3-all,Other,18
