feature,cluster
D_mc-Z-3-all,6
Di,15
Df,15
mc-S-3-all,8
mc-Z-3-all,6
mc-chi-3-all,8
Dif,15
D_mc-Z-2-all,1
D_mc-Z-1-all,6
mc-chi-2-all,2
mc-Z-0-all,6
mc-chi-1-all,5
mc-Z-1-all,6
mc-I-3-all,8
D_mc-chi-1-all,5
D_mc-S-3-all,8
D_mc-T-2-all,5
D_mc-S-2-all,1
GPOV,15
VPOV,15
mc-T-3-all,8
mc-chi-0-all,3
D_mc-T-1-all,5
D_mc-chi-3-all,8
D_mc-chi-2-all,1
VSA,15
D_mc-T-3-all,8
f-lig-Z-0,9
GSA,15
mc-Z-2-all,6
f-lig-Z-1,9
mc-T-2-all,8
GPOAV,15
POAV_vol_frac,15
mc-S-2-all,8
f-lig-S-0,9
mc-S-1-all,5
f-lig-Z-2,9
f-lig-chi-3,9
f-Z-0-all,7
D_lc-alpha-2-all,12
f-lig-S-3,9
lc-chi-2-all,11
f-lig-chi-0,9
D_mc-S-1-all,5
f-lig-S-1,9
f-lig-chi-2,9
f-lig-S-2,9
D_lc-T-2-all,12
lc-Z-2-all,11
f-lig-I-0,9
D_lc-chi-3-all,14
f-chi-0-all,7
D_func-alpha-3-all,10
f-lig-Z-3,9
f-lig-chi-1,9
f-lig-I-1,9
f-lig-T-3,9
D_func-S-2-all,16
mc-T-1-all,8
f-Z-1-all,7
f-chi-2-all,7
D_func-S-3-all,17
mc-S-0-all,4
f-lig-I-3,9
D_func-alpha-2-all,10
mc-I-2-all,8
f-lig-T-1,9
lc-Z-3-all,13
f-Z-2-all,7
