seed,adversarial_auc(train_vs_test),thr_min_fp_fn(train_oof),test_roc_auc,test_macro_f1,test_f1_stable(1),test_f1_unstable(0),test_balanced_accuracy,test_TPR(stable_recall),test_TNR(unstable_specificity),TN,FP,FN,TP,FP_plus_FN,stable_rate_train,stable_rate_test,difficulty_mean_train,difficulty_mean_test
333,0.4888930732738104,0.482,0.8659351145038168,0.7739938080495357,0.8421052631578947,0.7058823529411765,0.7648334489937543,0.916030534351145,0.6136363636363636,54,34,11,120,45,0.5979381443298969,0.5981735159817352,0.42955326460481097,0.42526636225266357
11,0.49088065611155574,0.538,0.865674878556558,0.7750770284149264,0.8110236220472441,0.7391304347826086,0.7794934073560027,0.7862595419847328,0.7727272727272727,68,20,28,103,48,0.5979381443298969,0.5981735159817352,0.42962962962962964,0.42496194824961947
21,0.47519967361797605,0.464,0.839911519777932,0.7142590866728797,0.8068965517241379,0.6216216216216216,0.7079285218598196,0.8931297709923665,0.5227272727272727,46,42,14,117,56,0.5979381443298969,0.5981735159817352,0.4297823596792669,0.4243531202435312
105,0.4998823141740808,0.426,0.8376561415683553,0.7227308141799766,0.8278145695364238,0.6176470588235294,0.715735600277585,0.9541984732824428,0.4772727272727273,42,46,6,125,52,0.5979381443298969,0.5981735159817352,0.42924780450553646,0.4264840182648402
123,0.541621553766731,0.464,0.8367453157529494,0.7165388302972195,0.8187919463087249,0.6142857142857143,0.7099670367800139,0.9312977099236641,0.48863636363636365,43,45,9,122,54,0.5979381443298969,0.5981735159817352,0.42802596410843835,0.4313546423135464
91,0.44593774681332937,0.5,0.8282876474670369,0.727078511661029,0.7956204379562044,0.6585365853658537,0.7228487161693269,0.8320610687022901,0.6136363636363636,54,34,22,109,56,0.5979381443298969,0.5981735159817352,0.4284077892325315,0.4298325722983258
42,0.5295548337491566,0.512,0.8263358778625954,0.7312883435582822,0.8,0.6625766871165644,0.7266655100624566,0.8396946564885496,0.6136363636363636,54,34,21,110,55,0.5979381443298969,0.5981735159817352,0.4288659793814433,0.4280060882800609
77,0.5287859530198182,0.504,0.8196564885496184,0.7585978835978835,0.8148148148148148,0.7023809523809523,0.7550746009715474,0.8396946564885496,0.6704545454545454,59,29,21,110,50,0.5979381443298969,0.5981735159817352,0.4296296296296297,0.42496194824961947
202,0.46987504380527967,0.446,0.8188324080499654,0.732168816484759,0.8153310104529616,0.6490066225165563,0.7249739764052741,0.8931297709923665,0.5568181818181818,49,39,14,117,53,0.5979381443298969,0.5981735159817352,0.4287896143566247,0.4283105022831051
63,0.46841573956388244,0.52,0.8072085357390701,0.6868744638261367,0.758364312267658,0.6153846153846154,0.6847675225537821,0.7786259541984732,0.5909090909090909,52,36,29,102,65,0.5979381443298969,0.5981735159817352,0.4275677739595265,0.4331811263318113
