n_features,cv_roc_auc
5,0.7306628025018829
10,0.7647853423715494
15,0.7775212583641702
20,0.7673532654375567
25,0.7722980864743316
30,0.7867941622730895
35,0.7899733656438637
40,0.795952451124865
45,0.800891814301776
50,0.8075858794249599
55,0.8107241488467541
60,0.8151668467760422
65,0.8114909781576449
70,0.8157126327624412
75,0.811919420156968
80,0.8123123860671753
85,0.8096134743644322
90,0.812492495442687
95,0.8092232373841569
100,0.8105031055222626
105,0.810871511063082
110,0.8119385226664919
115,0.8101619892807633
120,0.8115510146161486
