thr,TN,FP,FN,TP,FP_plus_FN
0.0,0,351,0,522,351
0.002,3,348,1,521,349
0.004,6,345,1,521,346
0.006,7,344,1,521,345
0.008,8,343,1,521,344
0.01,10,341,1,521,342
0.012,12,339,1,521,340
0.014,13,338,1,521,339
0.016,15,336,1,521,337
0.018000000000000002,17,334,1,521,335
0.02,17,334,1,521,335
0.022,17,334,1,521,335
0.024,18,333,1,521,334
0.026000000000000002,21,330,1,521,331
0.028,22,329,1,521,330
0.03,22,329,1,521,330
0.032,23,328,1,521,329
0.034,25,326,1,521,327
0.036000000000000004,25,326,1,521,327
0.038,26,325,1,521,326
0.04,27,324,1,521,325
0.042,29,322,1,521,323
0.044,31,320,1,521,321
0.046,32,319,1,521,320
0.048,33,318,1,521,319
0.05,35,316,1,521,317
0.052000000000000005,36,315,1,521,316
0.054,37,314,2,520,316
0.056,37,314,2,520,316
0.058,37,314,2,520,316
0.06,37,314,2,520,316
0.062,38,313,2,520,315
0.064,40,311,3,519,314
0.066,40,311,3,519,314
0.068,40,311,3,519,314
0.07,40,311,3,519,314
0.07200000000000001,40,311,3,519,314
0.074,40,311,3,519,314
0.076,40,311,3,519,314
0.078,40,311,3,519,314
0.08,40,311,3,519,314
0.082,41,310,3,519,313
0.084,41,310,3,519,313
0.08600000000000001,41,310,3,519,313
0.088,41,310,4,518,314
0.09,42,309,4,518,313
0.092,42,309,4,518,313
0.094,43,308,4,518,312
0.096,45,306,4,518,310
0.098,46,305,4,518,309
0.1,46,305,4,518,309
0.10200000000000001,47,304,4,518,308
0.10400000000000001,48,303,4,518,307
0.106,48,303,4,518,307
0.108,48,303,4,518,307
0.11,48,303,4,518,307
0.112,49,302,5,517,307
0.114,49,302,5,517,307
0.116,50,301,5,517,306
0.11800000000000001,50,301,5,517,306
0.12,50,301,5,517,306
0.122,53,298,5,517,303
0.124,55,296,5,517,301
0.126,55,296,5,517,301
0.128,57,294,5,517,299
0.13,59,292,5,517,297
0.132,60,291,5,517,296
0.134,60,291,5,517,296
0.136,60,291,5,517,296
0.138,61,290,5,517,295
0.14,62,289,5,517,294
0.14200000000000002,64,287,5,517,292
0.14400000000000002,64,287,5,517,292
0.146,64,287,5,517,292
0.148,64,287,5,517,292
0.15,64,287,5,517,292
0.152,66,285,5,517,290
0.154,66,285,5,517,290
0.156,66,285,5,517,290
0.158,67,284,5,517,289
0.16,68,283,5,517,288
0.162,69,282,5,517,287
0.164,71,280,5,517,285
0.166,71,280,5,517,285
0.168,74,277,5,517,282
0.17,74,277,5,517,282
0.17200000000000001,74,277,5,517,282
0.17400000000000002,76,275,5,517,280
0.176,76,275,6,516,281
0.178,76,275,6,516,281
0.18,76,275,6,516,281
0.182,78,273,6,516,279
0.184,80,271,6,516,277
0.186,80,271,6,516,277
0.188,80,271,6,516,277
0.19,80,271,6,516,277
0.192,81,270,7,515,277
0.194,83,268,7,515,275
0.196,83,268,7,515,275
0.198,83,268,7,515,275
0.2,84,267,7,515,274
0.202,84,267,8,514,275
0.20400000000000001,84,267,8,514,275
0.20600000000000002,86,265,8,514,273
0.20800000000000002,86,265,8,514,273
0.21,87,264,8,514,272
0.212,89,262,8,514,270
0.214,90,261,8,514,269
0.216,91,260,8,514,268
0.218,91,260,8,514,268
0.22,92,259,8,514,267
0.222,92,259,8,514,267
0.224,92,259,8,514,267
0.226,93,258,8,514,266
